Booktitle,Suggested Title,book_author,log_value,library,ISBN,Author,Type,Year Published,Weight,Page Count,Subjects,Places
Miss Peregrines Home For Peculiar Children,Miss Peregrine's Home for Peculiar Children,Ransom Riggs,1,Main (Oakland),316245283,Ransom Riggs,work,2011,,,,
Hollow City,Hollow City,Ransom Riggs,1,Carrick,1859847943,Rebecca Solnit,work,2000,,,,
Hollow City,Hollow City,Ransom Riggs,1,Main (Oakland),1859847943,Rebecca Solnit,work,2000,,,,
Hollow City,Hollow City,Ransom Riggs,1,Brookline,1859847943,Rebecca Solnit,work,2000,,,,
Hollow City,Hollow City,Ransom Riggs,1,Homewood,1859847943,Rebecca Solnit,work,2000,,,,
Hollow City,Hollow City,Ransom Riggs,1,Brookline,1859847943,Rebecca Solnit,work,2000,,,,
Hollow City,Hollow City,Ransom Riggs,1,Squirrel Hill,1859847943,Rebecca Solnit,work,2000,,,,
Hollow City,Hollow City,Ransom Riggs,1,Sheraden,1859847943,Rebecca Solnit,work,2000,,,,
Library Of Souls,Catalogue of manuscripts in the library of All Souls College,Ransom Riggs,1,Carrick,No ISBN Found,All Souls College (University of Oxford). Library.,work,1842,,,,
Library Of Souls,Catalogue of manuscripts in the library of All Souls College,Ransom Riggs,1,Main (Oakland),No ISBN Found,All Souls College (University of Oxford). Library.,work,1842,,,,
Library Of Souls,Catalogue of manuscripts in the library of All Souls College,Ransom Riggs,1,Main (Oakland),No ISBN Found,All Souls College (University of Oxford). Library.,work,1842,,,,
Library Of Souls,Catalogue of manuscripts in the library of All Souls College,Ransom Riggs,1,Main (Oakland),No ISBN Found,All Souls College (University of Oxford). Library.,work,1842,,,,
Library Of Souls,Catalogue of manuscripts in the library of All Souls College,Ransom Riggs,1,Main (Oakland),No ISBN Found,All Souls College (University of Oxford). Library.,work,1842,,,,
Library Of Souls,Catalogue of manuscripts in the library of All Souls College,Ransom Riggs,1,Squirrel Hill,No ISBN Found,All Souls College (University of Oxford). Library.,work,1842,,,,
Library Of Souls,Catalogue of manuscripts in the library of All Souls College,Ransom Riggs,1,Homewood,No ISBN Found,All Souls College (University of Oxford). Library.,work,1842,,,,
Library Of Souls,Catalogue of manuscripts in the library of All Souls College,Ransom Riggs,1,Squirrel Hill,No ISBN Found,All Souls College (University of Oxford). Library.,work,1842,,,,
Anthem,The Anthem Guide to India's Securities Markets (Anthem Finance),ayn rand,1,Carrick,1843312069,Anthem Finance,work,2006,,,,
Living Dead Girl,Living Dead Girl,Elizabeth Scott,1,Carrick,9781569473375,Tod Goldberg,work,2002,,,,
The Language Of Flowers,The big book of language through sounds,Vanessa Diffenbaugh,1,Main (Oakland),No ISBN Found,Flowers,work,1972,,,,
Raymie Nightingale,El verano de Raymie Nightingale,Kate DiCamillo,1,Main (Oakland),978-84-945282-6-2,Kate DiCamillo,work,2016,,,,
Raymie Nightingale,El verano de Raymie Nightingale,Kate DiCamillo,1,Lawrenceville,978-84-945282-6-2,Kate DiCamillo,work,2016,,,,
Raymie Nightingale,El verano de Raymie Nightingale,Kate DiCamillo,1,Mt. Washington,978-84-945282-6-2,Kate DiCamillo,work,2016,,,,
Raymie Nightingale,El verano de Raymie Nightingale,Kate DiCamillo,1,Lawrenceville,978-84-945282-6-2,Kate DiCamillo,work,2016,,,,
Raymie Nightingale,El verano de Raymie Nightingale,Kate DiCamillo,1,Main (Oakland),978-84-945282-6-2,Kate DiCamillo,work,2016,,,,
Ultimate Spiderman Miles Morales Book 3,,"Bendis, Brian Michael",1,,No ISBN Found,,,,,,,
We Are All Completely Beside Ourselves,We Are All Completely Beside Ourselves,Karen Joy Fowler,1,Main (Oakland),399162097,Karen Joy Fowler,work,2013,,,,
My Big Fat Zombie Goldfish,,Mo O'Hara,1,West End,No ISBN Found,,,,,,,
Purity,Purity,Jonathan Franzen,1,Main (Oakland),9780573650116,Thomas Bradshaw,work,2007,,,,
Purity,Purity,Jonathan Franzen,1,Allegheny,9780573650116,Thomas Bradshaw,work,2007,,,,
Purity,Purity,Jonathan Franzen,1,Main (Oakland),9780573650116,Thomas Bradshaw,work,2007,,,,
Life After Life,Life During College,Kate Atkinson,1,Main (Oakland),970094469,Life After Graduation,work,2005,,,,
Life After Life,Life During College,Kate Atkinson,1,Downtown & Business,970094469,Life After Graduation,work,2005,,,,
Luckiest Girl Alive,,Jessica Knoll,1,Main (Oakland),No ISBN Found,,,,,,,
Luckiest Girl Alive,,Jessica Knoll,1,Squirrel Hill,No ISBN Found,,,,,,,
Luckiest Girl Alive,,Jessica Knoll,1,Hazelwood,No ISBN Found,,,,,,,
Luckiest Girl Alive,,Jessica Knoll,1,Main (Oakland),No ISBN Found,,,,,,,
Elon Musk Tesla Space X And The Quest For A Fantastic Future,Elon Musk,Ashlee Vance,1,Squirrel Hill,62301233,Ashlee Vance,work,2015,,,,
Ten On The Sled,Ten on the sled,Kim Norman,1,Squirrel Hill,9781402770760,Kimberly Norman,work,2010,,,"Fiction,Sledding in fiction,Sleds,Stories in rhyme,Animals in fiction,Animals,Sleds in fiction,Counting,Sledding",
What Do People Do All Day,What Do People Do All Day?,Richard Scarry,1,Squirrel Hill,7189494,Richard Scarry,work,1968,9.9 ounces,64,"Occupations,Juvenile literature",
Dinosaur Hunt,Dinosaur Hunt,David Catrow,1,Squirrel Hill,9780060297039,Karen Carr,work,2002,,48,,
Dinosaur Hunt,Dinosaur Hunt,David Catrow,1,Squirrel Hill,9780060297039,Karen Carr,work,2002,,48,,
Dinosaur Hunt,Dinosaur Hunt,David Catrow,1,Squirrel Hill,9780060297039,Karen Carr,work,2002,,48,,
Dinosaur Hunt,Dinosaur Hunt,David Catrow,1,Squirrel Hill,9780060297039,Karen Carr,work,2002,,48,,
Dinosaur Hunt,Dinosaur Hunt,David Catrow,1,Downtown & Business,9780060297039,Karen Carr,work,2002,,48,,
Dinosaur Hunt,Dinosaur Hunt,,1,South Side,9780060297039,Karen Carr,work,2002,,48,,
Dinosaur Hunt,Dinosaur Hunt,David Catrow,1,Beechview,9780060297039,Karen Carr,work,2002,,48,,
Sharks Have Six Senses,,John Waters,1,Squirrel Hill,No ISBN Found,,,,,,,
Sharks Have Six Senses,,john f waters,1,Lawrenceville,No ISBN Found,,,,,,,
Sharks Have Six Senses,,John F. Waters,1,Homewood,No ISBN Found,,,,,,,
Great Big Schoolhouse,Great Big Schoolhouse,Richard Scarry,1,Squirrel Hill,1381504,Richard Scarry,work,1969,,,,
Honk Honk Baa Baa,,Petr Horacek,1,Squirrel Hill,No ISBN Found,,,,,,,
Honk Honk Baa Baa,,,1,Knoxville,No ISBN Found,,,,,,,
The More We Get Toghether,,Caroline Church,1,Squirrel Hill,No ISBN Found,,,,,,,
Blue Hat Green Hat,"Blue hat, green hat",Sandra Boynton,1,Squirrel Hill,9780416498400,Sandra Boynton,work,1984,,,,
Blue Hat Green Hat,"Blue hat, green hat",Sandra Boynton,1,Brookline,9780416498400,Sandra Boynton,work,1984,,,,
Blue Hat Green Hat,"Blue hat, green hat",Sandra Boynton,2,Squirrel Hill,9780416498400,Sandra Boynton,work,1984,,,,
Blue Hat Green Hat,"Blue hat, green hat",Sandra Boynton,1,Main (Oakland),9780416498400,Sandra Boynton,work,1984,,,,
Blue Hat Green Hat,"Blue hat, green hat",,1,East Liberty,9780416498400,Sandra Boynton,work,1984,,,,
Blue Hat Green Hat,"Blue hat, green hat",,1,East Liberty,9780416498400,Sandra Boynton,work,1984,,,,
Blue Hat Green Hat,"Blue hat, green hat",Sandra Boynton,1,South Side,9780416498400,Sandra Boynton,work,1984,,,,
Blue Hat Green Hat,"Blue hat, green hat",Sandra Boynton,1,South Side,9780416498400,Sandra Boynton,work,1984,,,,
Blue Hat Green Hat,"Blue hat, green hat",Sandra Boynton,1,East Liberty,9780416498400,Sandra Boynton,work,1984,,,,
Blue Hat Green Hat,"Blue hat, green hat",Sandra Boynton,1,Squirrel Hill,9780416498400,Sandra Boynton,work,1984,,,,
Blue Hat Green Hat,"Blue hat, green hat",Sandra Boynton,1,Beechview,9780416498400,Sandra Boynton,work,1984,,,,
Blue Hat Green Hat,"Blue hat, green hat",Sandra Boynton,1,Squirrel Hill,9780416498400,Sandra Boynton,work,1984,,,,
Blue Hat Green Hat,"Blue hat, green hat",Sandra Boynton,3,Hazelwood,9780416498400,Sandra Boynton,work,1984,,,,
Blue Hat Green Hat,"Blue hat, green hat",Sandra Boynton,1,Squirrel Hill,9780416498400,Sandra Boynton,work,1984,,,,
Why I Sneeze Shiver Hiccup And Yawn,"Why I sneeze, shiver, hiccup, and yawn",Melvin Berger,1,Squirrel Hill,9780439403573,"Melvin Berger,Melvin Berger",work,2000,,,"Reflexes,Juvenile literature,Protected DAISY",
Switch On Switch Off,"Switch On, Switch Off",Melvin Berger,1,Squirrel Hill,006445097X,Melvin Berger,work,2001,,32,"Electricity,Juvenile literature,Accessible book,Protected DAISY,In library",
Funny Lunch,Henry and Mudge and the funny lunch,David Catrow,1,Squirrel Hill,689811780,Cynthia Rylant,work,2004,,40,"Fiction,Juvenile fiction,Food,Fathers and sons,Mother's Day,Dogs,Fathers and sons in fiction,Dogs in fiction,Mother's Day in fiction,Food in fiction,Henry (Fictitious character : Rylant),Mudge (Fictitious character : Rylant),Protected DAISY",
Best In Show,Best in Show,David Catrow,1,Squirrel Hill,1933958170,Bo Bengtson,work,2007,,,,
Best In Show,Best in Show,david catrow,1,Lawrenceville,1933958170,Bo Bengtson,work,2007,,,,
The Opposite Of Loneliness Essays And Stories,,Marina Keegan,1,Squirrel Hill,No ISBN Found,,,,,,,
Alexander Hamilton  Writings,Writings,Joanne B Freeman,1,Squirrel Hill,9781931082044,Alexander Hamilton,work,2001,,,,
Taylor Swift Fearess Star,,,1,West End,No ISBN Found,,,,,,,
Froggy Gets A Doggy,,,1,West End,No ISBN Found,,,,,,,
Froggy Gets A Doggy,,Jonathan London,5,Squirrel Hill,No ISBN Found,,,,,,,
Farm,Homemade Cookies,,1,West End,9780345297839,Farm Journal,work,1981,,,,
Farm,Homemade Cookies,Mighty Movers,1,Brookline,9780345297839,Farm Journal,work,1981,,,,
The Selection,A selection of hymns for the use of Baptist congregations,Kiera Cass,1,Squirrel Hill,No ISBN Found,"Baptist union ,Selection",work,1846,,,,
The Selection,A selection of hymns for the use of Baptist congregations,Kiera Cass,1,Squirrel Hill,No ISBN Found,"Baptist union ,Selection",work,1846,,,,
The Selection,A selection of hymns for the use of Baptist congregations,Kiera Cass,1,Main (Oakland),No ISBN Found,"Baptist union ,Selection",work,1846,,,,
The Selection,A selection of hymns for the use of Baptist congregations,Kiera Cass,1,Main (Oakland),No ISBN Found,"Baptist union ,Selection",work,1846,,,,
The Selection,A selection of hymns for the use of Baptist congregations,Kiera Cass,1,Brookline,No ISBN Found,"Baptist union ,Selection",work,1846,,,,
The Selection,A selection of hymns for the use of Baptist congregations,Kiera Cass,1,Main (Oakland),No ISBN Found,"Baptist union ,Selection",work,1846,,,,
Each Peach Pear Plum,Each peach pear plum,Janet Ahlberg,1,Squirrel Hill,9780590335812,Janet Ahlberg,work,1978,,,"English language,Juvenile fiction,Literary recreations,Rhyme,Stories in rhyme",
Each Peach Pear Plum,Each peach pear plum,Janet Ahlberg,1,Main (Oakland),9780590335812,Janet Ahlberg,work,1978,,,"English language,Juvenile fiction,Literary recreations,Rhyme,Stories in rhyme",
Moo Baa La La La,"Moo, baa, la la la",Sandra Boynton,1,Squirrel Hill,9780689863028,Sandra Boynton,work,1982,,,,
Moo Baa La La La,"Moo, baa, la la la",Sandra Boynton,5,Hazelwood,9780689863028,Sandra Boynton,work,1982,,,,
Moo Baa La La La,"Moo, baa, la la la",Sandra Boynton,1,Brookline,9780689863028,Sandra Boynton,work,1982,,,,
Moo Baa La La La,"Moo, baa, la la la",Sandra Boynton,1,Brookline,9780689863028,Sandra Boynton,work,1982,,,,
Moo Baa La La La,"Moo, baa, la la la",,1,East Liberty,9780689863028,Sandra Boynton,work,1982,,,,
Moo Baa La La La,"Moo, baa, la la la",Sandra Boynton,1,Squirrel Hill,9780689863028,Sandra Boynton,work,1982,,,,
Moo Baa La La La,"Moo, baa, la la la",Sandra Boynton,3,West End,9780689863028,Sandra Boynton,work,1982,,,,
Moo Baa La La La,"Moo, baa, la la la",Sandra Boynton,1,Squirrel Hill,9780689863028,Sandra Boynton,work,1982,,,,
Moo Baa La La La,"Moo, baa, la la la",Sandra Boynton,5,Homewood,9780689863028,Sandra Boynton,work,1982,,,,
Moo Baa La La La,"Moo, baa, la la la",Sandra Boynton,1,Squirrel Hill,9780689863028,Sandra Boynton,work,1982,,,,
Moo Baa La La La,"Moo, baa, la la la",Sandra Boynton,5,Main (Oakland),9780689863028,Sandra Boynton,work,1982,,,,
Moo Baa La La La,"Moo, baa, la la la",Sandra Boynton,1,Squirrel Hill,9780689863028,Sandra Boynton,work,1982,,,,
If Youre A Robot And You Know It,,David Carter,1,Squirrel Hill,No ISBN Found,,,,,,,
Sick City,Sick cities,"O'Neill, Tony,",1,Downtown & Business,No ISBN Found,Mitchell Gordon,work,1963,,,,
Junie B Jones And The Mushy Gushy Valentine,Junie B. Jones and the Mushy Gushy Valentine Doll,Barbara Park,1,Mt. Washington,1579821537,Barbara Park,work,2001,1.6 ounces,,,
Marty Mcguire,Marty McGuire,Kate Messner,1,Mt. Washington,9780545142441,Kate Messner,work,2011,,,"Schools,Theater,Fiction",
The Boxcar Children Mystery In The Cave,,Gertrude Chandler,1,Squirrel Hill,No ISBN Found,,,,,,,
City Of Bones The Mortal Instruments,"City of Bones (Mortal Instruments, the)",Cassandra Clare,1,Brookline,1416955070,Cassandra Clare,work,2008,,,,
Alive,Sing an American Story,Scott Sigler,1,Brookline,9781886754072,Alive Media,work,1995,,,,
Hunted,Hunting,Maggie Stiefvater,1,Brookline,No ISBN Found,"Beaufort, Henry Charles FitzRoy Somerset Duke of",work,1886,,,,
Hunted,Hunting,Kevin Hearne,1,Sheraden,No ISBN Found,"Beaufort, Henry Charles FitzRoy Somerset Duke of",work,1886,,,,
Graduation Day,[Certificate of graduation],Joelle Charbonneau,1,Brookline,No ISBN Found,Jeremiah Day,work,,,,,
The Vampire Academy,vampire academy,,1,Brookline,No ISBN Found,rachelle mead,work,2008,,,,
The Arm,The policeman,Jeff Passan,1,Squirrel Hill,No ISBN Found,Walter Arm,work,1969,,,,
Are You A Cow,"Where are you, Cow Patty?",Sandra Boynton,1,Squirrel Hill,9780689310577,Elizabeth-Ann Sachs,work,1984,,,,
Are You A Cow,"Where are you, Cow Patty?",Sandra Boynton,3,Main (Oakland),9780689310577,Elizabeth-Ann Sachs,work,1984,,,,
Are You A Cow,"Where are you, Cow Patty?",Sandra Boynton,1,West End,9780689310577,Elizabeth-Ann Sachs,work,1984,,,,
Are You A Cow,"Where are you, Cow Patty?",Sandra Boynton,1,Main (Oakland),9780689310577,Elizabeth-Ann Sachs,work,1984,,,,
Are You A Cow,"Where are you, Cow Patty?",Sandra Boynton,1,Main (Oakland),9780689310577,Elizabeth-Ann Sachs,work,1984,,,,
The One,The Whole World Cookbook,Kiera Cass,1,Squirrel Hill,9780684178912,One Hundred & One Productions,work,1983,,,,
The One,The Whole World Cookbook,Kiera Cass,1,Brookline,9780684178912,One Hundred & One Productions,work,1983,,,,
The One,The Whole World Cookbook,Kiera Cass,2,Squirrel Hill,9780684178912,One Hundred & One Productions,work,1983,,,,
The Elite,The Good Timing Guide 2008,Kiera Cass,1,Squirrel Hill,966756177,Elite,work,2007,,,,
The Elite,The Good Timing Guide 2008,Kiera Cass,1,Squirrel Hill,966756177,Elite,work,2007,,,,
The Elite,The Good Timing Guide 2008,Kiera Cass,1,Brookline,966756177,Elite,work,2007,,,,
The Elite,The Good Timing Guide 2008,Kiera Cass,2,Squirrel Hill,966756177,Elite,work,2007,,,,
The Elite,The Good Timing Guide 2008,Kiera Cass,1,East Liberty,966756177,Elite,work,2007,,,,
The Tales Of Beedle The Bard,The Tales of Beedle the Bard,J.K. Rowling,1,Squirrel Hill,545128285,J. K. Rowling,work,2008,,111,"Juvenile fiction,Fiction,Wizards,Fantasy,Fairy tales,Magicians,Magic,Hogwarts School of Witchcraft and Wizardry (Imaginary place),Warlocks,Children's stories, English,Short stories,New York Times bestseller,nyt:series_books=2006-09-16,Protected DAISY",
The Tales Of Beedle The Bard,The Tales of Beedle the Bard,J.K. Rowling,1,Sheraden,545128285,J. K. Rowling,work,2008,,111,"Juvenile fiction,Fiction,Wizards,Fantasy,Fairy tales,Magicians,Magic,Hogwarts School of Witchcraft and Wizardry (Imaginary place),Warlocks,Children's stories, English,Short stories,New York Times bestseller,nyt:series_books=2006-09-16,Protected DAISY",
The Tales Of Beedle The Bard,The Tales of Beedle the Bard,J.K. Rowling,1,Main (Oakland),545128285,J. K. Rowling,work,2008,,111,"Juvenile fiction,Fiction,Wizards,Fantasy,Fairy tales,Magicians,Magic,Hogwarts School of Witchcraft and Wizardry (Imaginary place),Warlocks,Children's stories, English,Short stories,New York Times bestseller,nyt:series_books=2006-09-16,Protected DAISY",
The Tales Of Beedle The Bard,The Tales of Beedle the Bard,J.K. Rowling,1,Brookline,545128285,J. K. Rowling,work,2008,,111,"Juvenile fiction,Fiction,Wizards,Fantasy,Fairy tales,Magicians,Magic,Hogwarts School of Witchcraft and Wizardry (Imaginary place),Warlocks,Children's stories, English,Short stories,New York Times bestseller,nyt:series_books=2006-09-16,Protected DAISY",
The Painted Girls A Novel,"The ""Mind the paint"" girl",Cathy Marie Buchanan,1,Main (Oakland),No ISBN Found,"Tracy, Louis",work,1912,,,,
The Weird Book Machine,The World's Strangest Aircraft,Geronimo Stilton,1,Squirrel Hill,1586632124,Michael Taylor,work,2001,,,,
The Weird Book Machine,The World's Strangest Aircraft,geronimo Stilton,1,Squirrel Hill,1586632124,Michael Taylor,work,2001,,,,
Watch Your Tail,Beneath the Blonde (Mask Noir),Geronimo Stilton,1,Squirrel Hill,1852425423,Stella Duffy,work,1997,,,,
Watch Your Tail,Beneath the Blonde (Mask Noir),geronimo Stilton,1,Squirrel Hill,1852425423,Stella Duffy,work,1997,,,,
Play It Again Mozart,,Geronimo Stilton,1,Squirrel Hill,No ISBN Found,,,,,,,
Play It Again Mozart,,geronimo Stilton,1,Squirrel Hill,No ISBN Found,,,,,,,
The Stone Of Fire,After the fire's gone out,Geronimo Stilton,1,Squirrel Hill,9780130161970,Robert Stone,work,1991,,,,
The Stone Of Fire,After the fire's gone out,geronimo Stilton,1,Squirrel Hill,9780130161970,Robert Stone,work,1991,,,,
Dinosaurs  In Action,Dinosaurs in action,Geronimo Stilton,1,Squirrel Hill,1595665498,Rupert Matthews,work,2009,,,,
Dinosaurs   In    Action,Dinosaurs in action,Geronimo Stilton,1,Squirrel Hill,1595665498,Rupert Matthews,work,2009,,,,
Im  A  Scaredymouse,,Geronimo Stilton,1,Squirrel Hill,No ISBN Found,,,,,,,
The  Fast  And  The  Frozen,The biochemical and physical effects of very fast chilling on the bovine M. longissimus dorsi,Geronimo Stilton,1,Squirrel Hill,No ISBN Found,Ciaran David White,work,1997,,,,
