book_title,book_author,log_value,library
No Title Logged,,2,Squirrel Hill
Don't Throw It to Mo!,David A. Adler,1,East Liberty
Thea Stion And the Mistery On The Oriont Express,Gronimo Stilton,1,Lawrenceville
Mr. Happy,Roger Hargreaves,1,Squirrel Hill
Night Shift,Charlaine Harris,1,Squirrel Hill
Grasshopper and the Ants,Jerry Pinkney,1,Homewood
No Title Logged,,1,Squirrel Hill
Ranger's Apprentice- The Early Years- The Tournament At Gorlan,John Flanagan,1,Squirrel Hill
Measure Twice,JJ Hensley,1,Squirrel Hill
Carly the school fairy,,1,Carrick
a short history of valentine's day,,1,Brookline
I'm a Big Sister,Joanna Cole,1,Squirrel Hill
Who was Jane Goodal,,1,Main (Oakland)
"happy, happy",,1,Squirrel Hill
the adventures of Ook and gluk,Gorge Beard And Harold Hutchens,1,Lawrenceville
mac,,1,East Liberty
Roadwork,Sally Sutton,1,Mt. Washington
The Pigeon Finds a Hot Dog!,Mo Willems,3,Brookline
"Saga, Volume 1",Brian K. Vaughan,1,Main (Oakland)
Fifty Shades of Grey,E. L. James,1,South Side
The Martian,Andy Weir,2,Hazelwood
No Title Logged,,3,Homewood
The Three Little Pigs,Paul Galdone,1,Squirrel Hill
The Mysterious Benedict Society and the Perilous Journey,Trenton Lee Stewart,1,Main (Oakland)
Patience,Daniel Clowes,1,Beechview
There Was an Old Lady Who Swallowed a Fly,Simms Taback,1,Beechview
The Story of Abraham Lincoln: President for the People (Goal D Book 11),,1,Squirrel Hill
A New Chick for Chickies,,1,South Side
No Title Logged,,5,Beechview
Mr Churchill's Secretary,Susan Elia MacNeil,1,Main (Oakland)
No Title Logged,,2,Main (Oakland)
Acorn tales,,1,South Side
Fancy Nancy and Room 1A,,1,Beechview
The Berenstain Bears and The Truth,Stan & Jan Berenstain,1,Squirrel Hill
harry potter ,J.k Rowling,1,Sheraden
No Title Logged,,11,Squirrel Hill
Scaredy Mouse,,1,Main (Oakland)
The Watermelon Seed,Greg Pizzoli,1,Allegheny
The Red Hen,Bobby Lynn Madlen,1,East Liberty
Those Shoes,Maribeth Boelts,1,Main (Oakland)
oh daddy,,1,Hill District
New Aging ,Matthias Hollwich,1,Main (Oakland)
Demolition,Sally Sutton,1,East Liberty
summer breeze,nancy thayer,1,Brookline
Clifford takes a trip,Norman bridwell,1,East Liberty
My Little Pony Cheerilee's Flower Garden,,1,Brookline
For All the People,John Curl,1,Squirrel Hill
Everything is Teeth ,Evie Wyld,1,Downtown & Business
red riding hood,sarah blakley,1,East Liberty
The Berenstain Bears We Love Trucks,,1,Brookline
My Lucky Day,Keiko Kasza,1,Main (Oakland)
I Like to Be with My Family,,1,Main (Oakland)
Safe Keeping,Barbara Taylor Sissel,1,West End
Superman: Origin Story,,1,West End
5000 Awesome Facts,,1,Downtown & Business
No Title Logged,,2,Squirrel Hill
Yellow Dirt: An American Story Of A Poisoned Land And A People Betrayed,Judy Pasternak,1,Downtown & Business
No Title Logged,,1,Hazelwood
My Little Pony Friendship is Magic,Katie Cook,1,Main (Oakland)
No Title Logged,,5,Main (Oakland)
Anansi the spider : a tale from the Ashanti,Gerald McDermott,1,East Liberty
mother goose,,1,East Liberty
Too Many Cats,Lori Haskins Houran,1,Allegheny
Lust & Wonder,Augusten Burroughs,1,Main (Oakland)
blood defense,marcia clark,1,Woods Run
Olivia plants a garden,,1,Knoxville
No Title Logged,,15,Squirrel Hill
UNDER THE LAKE,STUART WOODS,1,Squirrel Hill
The Choosing: An action and adventure fantasy novel (The Blood and Brotherhood Saga Book 1),Jeremy Laszlo,1,Main (Oakland)
scrubbly bubbly car wash,,1,East Liberty
The Little Prince,Antoine De Saint-Exupery,1,Main (Oakland)
Twinkle Twinkle little star,Jane Cabrera,1,Squirrel Hill
PINKALICIOUS AND THE PINK PARAKEET,VICTORIA KANN,1,Carrick
Last Night in Montreal,Emily St. John Mandel,1,Main (Oakland)
The Tao of Martha,Jen Lancaster,1,Main (Oakland)
Adventure Time with Fionna & Cake: Card Wars,Jen Wang,1,Sheraden
One More Dino on the Floor,,1,Hill District
Bounty Hunters for Hire,,1,Squirrel Hill
You are special Daniel Tiger,,1,Main (Oakland)
The Hidden Wealth of Nations,Zucman,1,Main (Oakland)
"A King's Ransom, Cahills vs vespers, 39 clues",,1,East Liberty
Murder at Honeychurch Hall,"Dennison, Hannah",1,West End
Binkey Takes Charge,Ashley Spires,1,
Celestino Piatti's Animal ABC,Piatti,1,Squirrel Hill
Thats not my mermaid,,1,Sheraden
Little Humans,Brandon Stanton,1,Squirrel Hill
On beyond bugs! All about insects,Tish Rabe,1,Main (Oakland)
Hot Spot,VIrginia A. Arnold,1,West End
No Title Logged,,4,East Liberty
Bad Feminist,,1,Main (Oakland)
Teenage Mutant Ninja Turtles,,1,Squirrel Hill
Human Error,,1,Brookline
Alice in Zombieland,Gena Showalter,1,Main (Oakland)
Bring up the bodies,Hilary Mantel,1,Downtown & Business
Great Book of Whodunit Puzzles,,1,Allegheny
You,Caroline Kepnes,1,Sheraden
Goodnight Darth Vader,,1,Main (Oakland)
No Title Logged,,5,Mt. Washington
My Friend is Sad,Mo Willems,1,Carrick
How to praise three dragons,Ellie O'Ryan,1,
No Title Logged,,10,Woods Run
Lunch Lady and the Field Trip Fiasco,Jarrett J. Krosoczka,1,South Side
Mr. Putter and Tabby Pick the Pear,Cynthia Rylant,1,Squirrel Hill
Sick in the Head,Judd Apatow,1,Main (Oakland)
The Battle of the Labyrinth ,Rick Riordan,1,Main (Oakland)
I really like slop,Mo Willems,1,Main (Oakland)
Glory in Death,,1,South Side
Naruto 22,,1,Lawrenceville
The Courageous Captain America: An Origin Story,Marvel Comics,1,Main (Oakland)
Goodnight Daniel Tiger,,1,Carrick
warriors fire and ice,,1,Beechview
Ricky-of-the-Tuft,Charles Perrault,2,
Angels And Saints: A Bibical Guide to friendship with God's holy ones,Scott Hahn,1,Carrick
Viva Frida,Yuyi Morales,1,Hill District
Fudging The Books,Daryl Wood Gerber,1,Woods Run
Good night Pittsburgh ,,1,Main (Oakland)
the bike lesson,,1,West End
Big Max,kin platt,1,Brookline
Gemma the gymnastics fairy,Daisy Meadows ,1,Lawrenceville
Mind Your Body,Joel Harper,1,Downtown & Business
Beast Quest- The Dark Realm ,Adam blade,1,Squirrel Hill
Love stage 2,Eiki Eiki,1,Allegheny
Sit-in : how four friends stood up by sitting down,Andrea Davis Pinkney,1,Hill District
How to Become a Pirate,,1,West End
Amelia bedelia,,1,Beechview
No Title Logged,,1,Hazelwood
No Title Logged,,5,Squirrel Hill
Lolita,Vladimir Nabokov,1,Carrick
Penguin and the pincone,,1,Squirrel Hill
Herbert the Lion,Clare Turlay Newberry ,2,Main (Oakland)
Thomas the Tank Engine,Rev W. Awdry,1,Squirrel Hill
Day and Night ,The World of Eric Carle,1,East Liberty
Island of the Blue Dolphins,Scott O'Dell,1,Main (Oakland)
Curious George Rides,HA Rey,1,Squirrel Hill
Animal Camoflage,,1,Brookline
No Title Logged,,5,Squirrel Hill
No Title Logged,,5,Homewood
Hooray for Fly Guy!,Tedd Arnold,1,Carrick
Sweet Misfortunes,Kevin Allen Miline,1,Downtown & Business
Prince Fly Guy,Tedd Arnold,1,Squirrel Hill
WACKY WEDNESDAY,,1,Carrick
No Title Logged,,4,Squirrel Hill
Mac,,1,Main (Oakland)
10 Cut-Ups,Bobby Lynn Maslen,1,Main (Oakland)
jack and the snackstalk,,1,Lawrenceville
After the Storm,Linda Castillo,1,Woods Run
Minecraft: Top 35 Mods,Joseph Joyner,1,Lawrenceville
Lunch Lady and the Schoolwide Scuffle,Jarrett Krosoczka,1,East Liberty
The Shape of Me and Other Stuff,Dr. Seuss,2,Squirrel Hill
No Title Logged,,11,Allegheny
Elmer and the Monster,David McKee,1,Squirrel Hill
Mac,Bobby Lynn Maslen,1,Main (Oakland)
I Broke My Trunk,Mo Willems,1,Homewood
No Title Logged,,8,Main (Oakland)
Every Exquisite Thing,Matthew Quick,1,West End
No Title Logged,,13,Squirrel Hill
wintry days,,1,Brookline
Pirates of the Silver Coast,Scott Chantler,1,Squirrel Hill
An Irish Country Courtship,Patrick Taylor,1,Main (Oakland)
After You,Jojo Moyes,1,
Click clack splish splash,Doreen Cronin,7,Squirrel Hill
Stellaluna,Janell Cannon,1,Squirrel Hill
Tales from the Hood,Michael Buckley,1,Main (Oakland)
Happy birthday addy,Connie porter,2,West End
The Return of the King,J.R.R. Tolkien,1,Carrick
No Title Logged,,3,Squirrel Hill
Daniel Plays in the Snow,Becky Friedman,1,Main (Oakland)
No Title Logged,,1,Squirrel Hill
A Pawesome Mystery,,1,Hill District
Dog Days of Charlotte Hays,,1,Squirrel Hill
But What If We're Wrong?: Thinking About the Present As If It Were the Past,Chuck Klosterman,1,Sheraden
The Double,Jose Saramago,1,East Liberty
If You Give a Dog a Donut,Laura Numeroff,1,Main (Oakland)
No Title Logged,,9,East Liberty
The Ballet Recital,,1,Squirrel Hill
No Title Logged,,5,Beechview
This Is Not My Hat,Jon Klassen,2,Main (Oakland)
Elsa and the Night,,1,Main (Oakland)
Russell the Sheep,Rob Scotton,1,Carrick
penguins to the rescue,,1,Brookline
Peek-a-Moo!,Marie Torres Cimarusti,3,Beechview
No Title Logged,,1,Main (Oakland)
minions who's the boss,lucy rosen,1,Downtown & Business
No Title Logged,,1,Squirrel Hill
I Really Like Slop,Mo Willems,1,South Side
No Title Logged,,25,Squirrel Hill
No Title Logged,,1,Woods Run
Target ,Kathleen Willey,1,Downtown & Business
Goodnight Moon,Margaret Brown,1,East Liberty
Llama Llama Misses Mama,Anna Dewdney,2,West End
On the road,Jack Kerouac,1,Main (Oakland)
Can you Make a Scary Face?,Jan Thomas,1,Squirrel Hill
Are We Smart Enough to Know How Smart Animals Are?,,1,Main (Oakland)
No Title Logged,,4,Main (Oakland)
Whose Knees Are These?,Jabari Asim,1,Beechview
the courageous captain America,Rich Thomas,2,Main (Oakland)
Showa 1953-1989,Shigeru Mizuki,1,Main (Oakland)
Me and my place in space,,1,West End
No Title Logged,,12,West End
Grunt: The Curious Science of Humans at War,Mary Roach,1,Sheraden
Pairs,,1,Squirrel Hill
Briar Rose,Robert Coover,1,Woods Run
Good omens,Neil gaimen and terry pratchett ,1,Main (Oakland)
Sporty Bunney Tales,,1,East Liberty
No Title Logged,,3,Main (Oakland)
Sofia the First: The Curse of Princess Ivy,Craig Gerber,1,Squirrel Hill
No Title Logged,,10,Squirrel Hill
voyage of turtle rex,,1,East Liberty
Bi-Normal,M.G. Higgins,1,Main (Oakland)
Henry and Mudge,,1,Beechview
Brawler,Scott Hildreth,1,Carrick
Thea Stilton and the Lost Letters,Thea Stilton,1,Main (Oakland)
No Title Logged,,20,Woods Run
A very witchy spelling bee,,1,West End
the princess in black and the hungry bunny horde,shannon hale,1,Beechview
No Title Logged,,1,East Liberty
That's not my bear,Fiona Watt,1,Main (Oakland)
Bear in Underwear,Josh Doodler,1,Squirrel Hill
Another Woman's Man,Shelly Ellis,1,South Side
Originals,Adam Grant,1,Squirrel Hill
Rise of the snakes: Lego Ninjago ,Tracey West ,1,East Liberty
If You're a Robot and You Know It,David Carter,1,Squirrel Hill
Knuffle Bunny,,1,
No Title Logged,,1,Carrick
Buy in my love,,1,Brookline
"Fun Dog, Sun Dog",Deborah Heiligman,1,Allegheny
magic tree house outer space #9,,1,Main (Oakland)
No Title Logged,,8,Main (Oakland)
Kite Day: A Bear and Mole Story ,will hillenbrand,1,Hill District
James and the Giant Peach,Roald Dahl,1,Main (Oakland)
Magic Tree House Fact Tracker: Abraham Lincoln,Mary Pope Osborne,1,Main (Oakland)
All Through My Town,Jean Reidy,1,Main (Oakland)
adventure time masked mayhem,pendleton ward,1,Lawrenceville
Baby Donald Makes a Snowfriend: A book about shapes,Marilyn Sapienza,1,East Liberty
No Title Logged,,1,East Liberty
Reckless,Andrew Gross,1,Beechview
Rosie Goes to Preschool,Karen Katz,1,Main (Oakland)
No Title Logged,,1,Main (Oakland)
Shards of Empire,Susan Schwartz,1,Beechview
No Title Logged,,2,Squirrel Hill
The Giraffe and the Pelly and Me,Roald Dahl,1,Main (Oakland)
Snowy Day,Ezra Jack Keats,1,Squirrel Hill
